id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,language,is_explicit,instrumentalness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,English,False,0.02
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,55,2020,Instrumental,False,0.85
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010,English,False,0.05
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,48,2020,Instrumental,False,0.90
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,70,2020,English,False,0.01
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,35,2010,Instrumental,False,0.95
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,40,1990,English,False,0.60
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,58,2010,English,False,0.15
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,44,2020,Instrumental,False,0.88
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,65,2010,English,False,0.03
11,Concrete Dreams,Static Verses,hip hop,confident,0.70,95,0.60,0.85,0.08,72,2020,English,True,0.00
12,Autumn Porch,Wildflower Radio,folk,nostalgic,0.35,100,0.55,0.35,0.82,30,2000,English,False,0.10
13,Pulse Horizon,Kilowatt,electronic,euphoric,0.95,128,0.88,0.90,0.03,68,2020,Korean,False,0.20
14,Glass Cathedral,Solene Marchetti,classical,melancholy,0.25,66,0.30,0.15,0.95,25,1990,Instrumental,False,0.98
15,Velvet Hour,Amber Static,r&b,romantic,0.55,88,0.68,0.70,0.25,60,2010,Hindi,False,0.02
16,Iron Verdict,Grave Circuit,metal,angry,0.97,168,0.25,0.45,0.02,50,2000,English,True,0.03
17,Sundown Sway,Coral Tide,reggae,uplifting,0.60,92,0.80,0.75,0.30,45,1990,Spanish,False,0.05
18,Dust Road Home,Juniper Hale,country,wistful,0.50,104,0.62,0.55,0.60,38,1980,English,False,0.05
